Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
0,-29776.880000000012,0.0,40.0,100.0
1,-23519.679999999986,309877.0392857143,39.0,100.0
2,-44500.24000000001,702415.6636991279,47.0,100.0
3,-37802.88000000007,711250.0166440217,50.0,100.0
4,-45796.38000000001,263696.74457908166,51.0,100.0
5,-46011.900000000074,236007.41293697033,60.0,100.0
6,-28847.08999999999,217738.9082880435,27.0,100.0
7,-69486.65999999986,263581.71202409774,70.0,100.0
8,-38111.40000000003,223385.75793850806,35.0,100.0
9,-28600.45999999997,230625.95774147726,45.0,100.0
10,-28331.75999999996,195447.68900240384,52.0,100.0
11,-42540.500000000015,273685.92272418475,48.0,100.0
12,-20764.609999999997,238281.36026785715,39.0,100.0
13,-76787.48999999973,297761.543359375,86.0,99.0199
14,-42091.42999999999,641222.1197033898,57.0,100.0
15,-41156.849999999984,700718.7139423077,41.0,100.0
16,-39855.68000000002,716967.1432291666,32.0,100.0
17,-58152.89000000009,779351.6875964506,79.0,100.0
18,-37780.19000000002,1373134.2384259258,30.0,100.0
19,-21414.199999999986,2014010.6775,26.0,100.0
20,-33504.1,1492042.0560897435,41.0,100.0
21,-39064.79000000003,1596557.521875,43.0,100.0
22,-27522.1,1434808.4331896552,33.0,100.0
23,-34932.84000000005,2750666.4628378376,71.0,100.0
24,-24847.56,3898540.1532258065,34.0,100.0
25,-45836.42000000015,3774152.1995967743,85.0,100.0
26,-34845.010000000046,4619774.93452381,47.0,100.0
27,-40518.85000000002,8282805.928571428,33.0,100.0
28,-41598.86000000013,7400854.234195402,88.0,100.0
29,-45566.79000000004,12637894.125,35.0,100.0
30,-36385.93,13405096.586956521,50.0,100.0
31,-40741.94000000005,32621058.14285714,53.0,100.0
32,-34978.32000000003,47388602.878787875,36.0,100.0
33,-28720.79,45007492.307692304,31.0,100.0
34,-58013.88000000007,54493658.89130435,49.0,100.0
35,-46786.44000000007,59664770.277777776,56.0,100.0
36,-47913.12000000002,57967976.294117644,37.0,100.0
37,-38552.91,93172546.2,43.0,100.0
38,-44955.57000000002,64095257.35714286,32.0,100.0
39,-37270.120000000024,111403790.88,29.0,100.0
40,-32076.90000000003,98661119.0,42.0,100.0
41,-27376.0,220907011.78947368,24.0,100.0
42,-23569.240000000005,320293178.1052632,21.0,100.0
43,-36447.17000000006,225437277.26027396,69.0,100.0
44,-32136.819999999974,261730277.23809522,47.0,100.0
45,-49039.870000000104,473069870.02469134,78.0,100.0
46,-29929.190000000002,300026096.84210527,24.0,100.0
47,-21719.659999999996,1021437750.9333333,33.0,100.0
48,-32912.53999999998,760237848.6153846,56.0,100.0
49,-36604.670000000006,1696148113.3333333,28.0,100.0
50,-25836.889999999992,806328064.0,38.0,100.0
51,-38108.12999999999,1826539072.0,69.0,100.0
52,-66281.55000000006,1860406424.5333333,59.0,100.0
53,-56160.400000000074,2700070014.6086955,49.0,100.0
54,-51357.31999999995,4063322016.0,48.0,100.0
55,-37546.91000000001,4214519306.3783784,41.0,100.0
56,-27265.53000000001,5720362822.095238,44.0,100.0
57,-57124.05000000003,9516136236.137932,85.0,100.0
58,-45665.31000000005,14661470120.22857,38.0,100.0
59,-30277.029999999988,12549954921.6,44.0,100.0
60,-28851.94999999994,15933555111.384615,54.0,100.0
61,-50698.890000000065,24872206024.0,64.0,100.0
62,-44059.35000000003,47243220078.702705,40.0,100.0
63,-41174.08000000009,47927580420.196724,65.0,100.0
64,-27942.639999999996,50271940441.945946,41.0,100.0
65,-25977.800000000007,70600590202.43478,48.0,100.0
66,-35085.380000000034,171553897216.0,33.0,100.0
67,-53095.950000000055,112159082014.11765,37.0,100.0
68,-50008.29000000004,234275624652.8,44.0,100.0
69,-38355.44,144439363517.9355,35.0,100.0
70,-31813.26000000001,307842273627.11865,58.0,100.0
71,-62761.58000000009,536993235448.12305,61.0,100.0
72,-38192.29000000001,1124971951038.6382,49.0,100.0
73,-50799.30000000004,1164082296237.4194,33.0,100.0
74,-35710.68999999999,1479386143622.8818,82.0,100.0
75,-25879.640000000007,2918928728064.0,39.0,100.0
76,-47948.779999999955,2075606232652.2554,50.0,100.0
77,-46292.65000000009,4245646378832.457,72.0,100.0
78,-40624.11000000009,8720836089585.51,57.0,100.0
79,-50008.54000000005,15059273399920.39,41.0,100.0
80,-34043.07,11393841648276.645,34.0,100.0
81,-28282.28999999998,24309033948501.332,35.0,100.0
82,-47490.62000000001,22318555788932.742,58.0,100.0
83,-48209.68000000004,21795928096768.0,34.0,100.0
84,-30556.839999999964,43707313670682.945,41.0,100.0
85,-46571.5,57484179518581.51,61.0,100.0
86,-60786.47000000009,74175030780058.56,53.0,100.0
87,-23001.37000000003,63260684807960.15,54.0,100.0
88,-38052.34000000002,189972806311736.2,43.0,100.0
89,-31446.270000000037,263964039975335.72,34.0,100.0
90,-33127.6,489985847077109.75,29.0,100.0
91,-31401.599999999933,446803812024320.0,75.0,100.0
92,-31941.839999999964,1204035813743001.5,41.0,100.0
93,-42538.34000000004,733699037235808.9,42.0,100.0
94,-35481.340000000026,3328542513299456.0,35.0,100.0
95,-42073.11000000001,2348670075242375.5,49.0,100.0
96,-32159.780000000002,2508699493720766.0,38.0,100.0
97,-33057.03999999999,7925056789427447.0,31.0,100.0
98,-69759.99000000003,1.1330704686685818e+16,79.0,100.0
99,-35935.77000000003,2.0960019200771772e+16,42.0,100.0
100,-31754.660000000003,2.8364875670111136e+16,50.0,100.0
101,-46990.06000000002,8.239883408250296e+16,36.0,100.0
