Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
0,-40123.020000000164,288750.540390625,95.0,99.5149
1,-42433.890000000036,867876.3327636719,35.0,100.0
2,-37675.119999999995,304717.37069424713,47.0,100.0
3,-28604.11,109404.62313406808,44.0,100.0
4,-51862.87000000016,68749.9248712713,84.0,100.0
5,-34180.32000000001,65338.43341409935,54.0,100.0
6,-35649.73000000003,71296.91966145833,33.0,100.0
7,-30701.209999999995,121179.77745225694,23.0,100.0
8,-22074.880000000023,65320.763221153844,30.0,100.0
9,-56915.02000000004,62116.91358379289,49.0,100.0
10,-34793.89000000001,22920.374521683672,51.0,100.0
11,-39435.569999999985,39044.90329391892,42.0,100.0
12,-49435.26000000004,30665.18303765191,38.0,100.0
13,-32095.77000000001,41966.823451450895,26.0,100.0
14,-37028.88000000003,39594.07191685268,42.0,100.0
15,-33062.01,41140.36205267137,36.0,100.0
16,-30545.15999999999,40087.65760091146,33.0,100.0
17,-33652.270000000004,27585.483114919356,35.0,100.0
18,-30558.619999999955,32293.421853298612,46.0,100.0
19,-33972.15000000001,33970.120814732145,39.0,100.0
20,-43132.81999999999,46285.2306640625,35.0,100.0
21,-44314.200000000026,44395.559006076386,49.0,100.0
22,-32917.41000000001,33059.10480385638,46.0,100.0
23,-57215.049999999996,43472.06387134308,48.0,100.0
24,-47557.12,46425.76613498264,48.0,100.0
25,-47009.110000000044,34963.65875589623,53.0,100.0
26,-53404.310000000056,39120.793074898094,49.0,100.0
27,-54171.86000000007,41877.696756998695,48.0,100.0
28,-29940.819999999992,38125.760009765625,36.0,100.0
29,-33441.270000000004,50080.321604410805,49.0,100.0
30,-52878.540000000015,24905.883231921074,76.0,100.0
31,-33844.299999999996,29054.921838378905,44.0,100.0
32,-29729.13999999999,29977.260185375548,59.0,100.0
33,-39178.480000000076,32238.034765625,54.0,100.0
34,-26706.619999999995,24517.932308799343,23.0,100.0
35,-53084.82000000005,28605.446066337718,58.0,100.0
36,-30240.999999999996,23575.994258485993,34.0,100.0
37,-25553.03999999996,17979.47171875,53.0,100.0
38,-46591.03000000011,30772.061722876322,72.0,100.0
39,-50974.690000000024,25681.883514404297,36.0,100.0
40,-41286.00000000007,25720.233747209822,81.0,100.0
41,-25070.579999999987,17119.04447544643,37.0,100.0
42,-52397.95000000005,18556.38868788422,59.0,100.0
43,-45130.36000000004,17758.796653053978,37.0,100.0
44,-32626.00999999994,26857.586407001203,55.0,100.0
45,-40598.84,30562.196840347784,35.0,100.0
46,-42073.610000000015,25739.746360085228,66.0,100.0
47,-79451.36999999979,34106.59578125,95.0,98.5249
48,-34549.25000000001,32578.387660435266,32.0,100.0
49,-34466.28,28665.020080566406,29.0,100.0
50,-36283.0,36402.569986979164,50.0,100.0
51,-29855.160000000014,35392.469986979166,33.0,100.0
52,-54353.690000000024,41914.37568359375,34.0,100.0
53,-44051.2700000001,39507.436686197914,70.0,100.0
54,-36022.44999999999,44455.489583333336,38.0,100.0
55,-36127.42,68375.62877604166,31.0,100.0
56,-26645.909999999978,51878.52676930147,39.0,100.0
57,-45262.0000000001,49958.162170410156,64.0,100.0
58,-49904.61000000004,61488.091064453125,37.0,100.0
59,-38049.38,77000.00390625,56.0,100.0
60,-30452.83999999997,62241.96653988487,39.0,100.0
61,-37849.73000000006,76804.30513822116,54.0,100.0
62,-56578.89000000006,101467.37749565972,40.0,100.0
63,-18506.679999999993,100240.0,24.0,100.0
64,-42731.22000000002,119750.96324118589,41.0,100.0
65,-59106.53000000001,124705.94289981617,66.0,100.0
66,-40047.26000000009,181516.98220486112,59.0,100.0
67,-51571.56000000016,223393.2930078125,87.0,99.5149
68,-24330.210000000006,384709.4870689655,34.0,100.0
69,-50216.78000000005,382687.3146972656,63.0,100.0
70,-43034.08000000006,470269.0049963663,80.0,100.0
71,-36921.98000000003,636753.8051097973,41.0,100.0
72,-49706.42999999998,679247.9723011364,48.0,100.0
73,-45660.99000000005,819099.5588662791,45.0,100.0
74,-29417.120000000006,459888.9010416667,23.0,100.0
75,-55353.130000000114,1077352.196875,65.0,100.0
76,-54068.859999999986,1732338.5982142857,39.0,100.0
77,-35387.38000000001,1345051.735576923,44.0,100.0
78,-37417.43000000007,1917485.298611111,47.0,100.0
79,-39967.15000000004,2427453.0799418604,42.0,100.0
80,-45509.47000000003,1903837.9621710526,41.0,100.0
81,-32826.38999999999,3121451.1357142855,38.0,100.0
82,-35191.89000000001,3774866.5875,44.0,100.0
83,-34391.69,4056238.742424242,35.0,100.0
84,-36679.420000000006,4237546.8622448975,50.0,100.0
85,-32444.329999999976,5529015.588983051,61.0,100.0
86,-40431.53,7229617.982758621,60.0,100.0
87,-38360.69,9447503.939285714,70.0,100.0
88,-17896.309999999994,12517075.55882353,22.0,100.0
89,-33281.82999999997,13775782.326530613,53.0,100.0
90,-36277.76000000002,11158613.388888888,39.0,100.0
91,-34349.090000000004,20386634.783783782,40.0,100.0
92,-48651.61000000011,22745789.753623188,67.0,100.0
93,-74184.45999999999,28514017.8125,34.0,100.0
94,-37828.200000000004,31571359.913043477,28.0,100.0
95,-39398.159999999996,29748217.12195122,44.0,100.0
96,-24883.11,45790164.71428572,32.0,100.0
97,-36813.11999999999,47053734.484848484,64.0,100.0
98,-23676.37,33749212.916666664,29.0,100.0
99,-45279.17,59037498.8,45.0,100.0
100,-46108.820000000065,71668381.9090909,49.0,100.0
101,-35054.58000000007,76738702.74074075,52.0,100.0
102,-47430.189999999995,62781324.0,56.0,100.0
103,-57569.0900000001,92945826.57142857,59.0,100.0
104,-43188.55000000002,135470375.75,48.0,100.0
105,-29830.249999999985,148538838.9090909,26.0,100.0
106,-37172.540000000015,162784749.33333334,54.0,100.0
107,-37074.12000000001,191049904.92307693,31.0,100.0
108,-46754.49000000014,191777167.1011236,85.0,100.0
109,-43843.50999999997,270004466.8,44.0,100.0
110,-33893.920000000006,240977258.58064517,35.0,100.0
111,-41406.580000000016,319601590.8292683,46.0,100.0
112,-54213.57000000001,319807472.5797101,67.0,100.0
113,-56727.62000000004,348400050.31578946,42.0,100.0
114,-16065.939999999999,457834607.46666664,34.0,100.0
115,-35244.81000000002,474531624.6857143,36.0,100.0
116,-39183.119999999995,518847753.14285713,33.0,100.0
117,-28861.3,384158858.0,29.0,100.0
118,-49114.08000000003,617604050.2222222,39.0,100.0
119,-34733.32999999999,594986302.8148148,31.0,100.0
120,-31619.85999999998,799511058.1621622,39.0,100.0
121,-26110.560000000005,652421494.6206896,34.0,100.0
122,-33998.31000000001,1003861341.44,27.0,100.0
123,-30775.549999999992,1076326603.2941177,54.0,100.0
124,-38631.040000000045,888060990.4,43.0,100.0
125,-65092.98000000018,1313647267.84,91.0,99.7599
126,-24234.37000000003,1461926371.121951,44.0,100.0
127,-26049.780000000002,2369462881.28,30.0,100.0
128,-24882.119999999995,1804135262.3157895,39.0,100.0
129,-69948.21999999999,1697659550.4262295,60.0,100.0
130,-35176.59999999999,2179093692.4444447,40.0,100.0
131,-38844.69999999996,1720294209.7777777,36.0,100.0
132,-38737.259999999995,3386474825.8461537,28.0,100.0
133,-56173.5,2841219056.9411764,52.0,100.0
134,-65168.25000000006,2596301574.095238,45.0,100.0
135,-41050.51000000003,3612708968.7272725,46.0,100.0
136,-28602.139999999945,4057973489.7777777,57.0,100.0
137,-35605.15000000001,5276420274.0,65.0,100.0
138,-29879.129999999983,4137030570.6666665,40.0,100.0
139,-44126.12000000003,5056404500.756757,40.0,100.0
140,-29722.16999999995,5931306390.974359,43.0,100.0
141,-40260.110000000015,6328440965.907692,68.0,100.0
142,-43411.390000000036,6679680864.5245905,63.0,100.0
143,-25560.110000000004,7792647876.923077,39.0,100.0
144,-52829.10000000001,9004183364.266666,33.0,100.0
145,-38735.54,9778476899.555555,40.0,100.0
146,-33318.119999999995,13256637081.6,42.0,100.0
147,-27358.270000000015,11505540721.777779,49.0,100.0
148,-33020.32000000001,12774941325.617022,49.0,100.0
149,-38025.17000000005,15798822438.4,42.0,100.0
150,-50554.78000000002,18142162452.07843,48.0,100.0
151,-45249.06999999998,18952804404.2449,52.0,100.0
152,-47263.02000000015,33794139574.857143,94.0,100.0
153,-47211.25000000002,32945608047.589745,42.0,100.0
154,-40733.04000000011,34670356574.16092,79.0,100.0
155,-45921.81000000006,40257421555.809525,45.0,100.0
156,-60008.350000000006,34502929561.6,43.0,100.0
157,-38978.1300000001,36922659666.44068,60.0,100.0
158,-49294.770000000084,41660403419.42857,92.0,100.0
159,-42933.44999999999,42556152450.976746,83.0,100.0
160,-61228.94000000001,51057563852.8,49.0,100.0
161,-46219.820000000065,67930310894.933334,59.0,100.0
162,-50901.64000000013,90740286025.14285,73.0,100.0
163,-43759.949999999975,84774999303.31429,37.0,100.0
164,-22126.13,116180676380.44444,22.0,100.0
165,-48536.04,84410371985.2973,40.0,100.0
166,-41926.09000000005,144422715155.69232,55.0,100.0
167,-42172.27999999996,148799093760.0,28.0,100.0
168,-44581.140000000036,153348557435.5862,61.0,100.0
169,-36700.380000000034,165825275149.4737,40.0,100.0
170,-34890.59999999999,133543491779.04762,46.0,100.0
171,-39729.11000000001,132057130120.53334,60.0,100.0
172,-42188.62000000002,161795112491.8857,38.0,100.0
173,-47957.63000000002,168750031238.09525,46.0,100.0
174,-24111.82000000002,172620757196.8,44.0,100.0
175,-34702.17000000003,163523889834.66666,38.0,100.0
176,-53872.710000000094,207332999168.0,71.0,100.0
